Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:09.103658,Triple Duplicate,1460,1642
2020-04-21 16:34:09.103659,,1642,1642
2020-04-21 16:34:09.104155,Retransmission,1460,1460
2020-04-21 16:34:09.104276,,2920,1460
2020-04-21 16:34:09.104277,,4380,1460
2020-04-21 16:34:09.104278,Triple Duplicate,1460,2190
2020-04-21 16:34:09.104278,,2190,2190
2020-04-21 16:34:09.145647,Retransmission,1460,1460
2020-04-21 16:34:09.145776,,2920,1460
2020-04-21 16:34:09.145777,,4380,1460
2020-04-21 16:34:09.145778,Triple Duplicate,1460,2190
2020-04-21 16:34:09.145778,,2190,2190
2020-04-21 16:34:09.145779,,3650,2190
2020-04-21 16:34:09.145780,Triple Duplicate,1460,1825
2020-04-21 16:34:09.146473,Retransmission,1460,1460
2020-04-21 16:34:09.146624,,2920,1460
2020-04-21 16:34:09.146625,,4380,1460
2020-04-21 16:34:09.146625,Triple Duplicate,1460,2190
2020-04-21 16:34:09.146626,,2190,2190
2020-04-21 16:34:09.146627,,3650,2190
2020-04-21 16:34:09.146627,Triple Duplicate,1460,1825
2020-04-21 16:34:09.146628,,1825,1825
2020-04-21 16:34:09.146629,,3285,1825
2020-04-21 16:34:09.146629,Triple Duplicate,1460,1642
2020-04-21 16:34:09.146630,,1642,1642
2020-04-21 16:34:09.146630,,3102,1642
2020-04-21 16:34:09.146631,Triple Duplicate,1460,1551
2020-04-21 16:34:09.147052,Retransmission,1460,1460
2020-04-21 16:34:09.147163,,2920,1460
2020-04-21 16:34:09.147164,,4380,1460
2020-04-21 16:34:09.147164,Triple Duplicate,1460,2190
2020-04-21 16:34:09.147165,,2190,2190
2020-04-21 16:34:09.147166,,3650,2190
2020-04-21 16:34:09.147166,Triple Duplicate,1460,1825
2020-04-21 16:34:09.147167,,1825,1825
2020-04-21 16:34:09.147168,,3285,1825
2020-04-21 16:34:09.147169,,4745,1825
2020-04-21 16:34:09.147169,Triple Duplicate,1460,2372
2020-04-21 16:34:09.148560,Retransmission,1460,1460
2020-04-21 16:34:09.148683,,2920,1460
2020-04-21 16:34:09.148683,,4380,1460
2020-04-21 16:34:09.148684,Triple Duplicate,1460,2190
2020-04-21 16:34:09.148685,,2190,2190
2020-04-21 16:34:09.150616,Retransmission,1460,1460
2020-04-21 16:34:09.150795,,2920,1460
2020-04-21 16:34:09.150795,,4380,1460
