Timestamp,Event,cwnd,sstresh,Phase
2020-04-21 16:34:01.945729,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.945730,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.945731,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.945732,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.945733,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.945734,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.945735,,3011,1551,Congestion Avoidance
2020-04-21 16:34:01.945735,Triple Duplicate,5885,1505,Fast Recovery
2020-04-21 16:34:01.945737,,1505,1505,Congestion Avoidance
2020-04-21 16:34:01.945737,,2965,1505,Congestion Avoidance
2020-04-21 16:34:01.945739,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:01.945739,,1482,1482,Congestion Avoidance
2020-04-21 16:34:01.945740,,2942,1482,Congestion Avoidance
2020-04-21 16:34:01.946825,Retransmission,1460,1471,Slow Start
2020-04-21 16:34:01.946963,,1471,1471,Congestion Avoidance
2020-04-21 16:34:01.946964,,2931,1471,Congestion Avoidance
2020-04-21 16:34:01.946964,Triple Duplicate,5845,1465,Fast Recovery
2020-04-21 16:34:01.946966,,1465,1465,Congestion Avoidance
2020-04-21 16:34:01.946966,,2925,1465,Congestion Avoidance
2020-04-21 16:34:01.946968,Triple Duplicate,5842,1462,Fast Recovery
2020-04-21 16:34:01.946968,,1462,1462,Congestion Avoidance
2020-04-21 16:34:01.946969,,2922,1462,Congestion Avoidance
2020-04-21 16:34:01.946970,Triple Duplicate,5841,1461,Fast Recovery
2020-04-21 16:34:01.946971,,1461,1461,Congestion Avoidance
2020-04-21 16:34:01.946971,,2921,1461,Congestion Avoidance
2020-04-21 16:34:01.946973,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.947705,Retransmission,1460,2920,Slow Start
2020-04-21 16:34:01.947846,,2920,2920,Congestion Avoidance
2020-04-21 16:34:01.947848,,4380,2920,Congestion Avoidance
2020-04-21 16:34:02.066236,Retransmission,1460,2190,Slow Start
2020-04-21 16:34:02.066388,,2190,2190,Congestion Avoidance
2020-04-21 16:34:02.066388,,3650,2190,Congestion Avoidance
2020-04-21 16:34:02.066389,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:02.066390,,1825,1825,Congestion Avoidance
2020-04-21 16:34:02.066390,,3285,1825,Congestion Avoidance
2020-04-21 16:34:02.066391,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:02.066392,,1642,1642,Congestion Avoidance
2020-04-21 16:34:02.066392,,3102,1642,Congestion Avoidance
2020-04-21 16:34:02.066393,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:02.066394,,1551,1551,Congestion Avoidance
2020-04-21 16:34:02.066394,,3011,1551,Congestion Avoidance
2020-04-21 16:34:02.066395,Triple Duplicate,5885,1505,Fast Recovery
2020-04-21 16:34:02.066396,,1505,1505,Congestion Avoidance
2020-04-21 16:34:02.066396,,2965,1505,Congestion Avoidance
2020-04-21 16:34:02.066397,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:02.067138,Retransmission,1460,2931,Slow Start
2020-04-21 16:34:02.067266,,2920,2931,Slow Start
2020-04-21 16:34:02.067266,,2931,2931,Congestion Avoidance
2020-04-21 16:34:02.067267,Triple Duplicate,5845,1465,Fast Recovery
